Id,Sku,Description,Best Price
3001,SK1,Dinner Plate,13.50
3002,SK2,Side Plate,7.63
3003,SK3,Soup Bowl,9.54
3004,SK4,Salad Bowl,12.76
3005,SK5,Pasta Bowl,10.22
3006,SK6,Serving Platter,23.25
3007,SK7,Cake Stand,27.40
3008,SK8,Bread Basket,13.57
3009,SK9,Cheese Board,17.26
3010,SK10,Cheese Grater,7.88
3011,SK11,Carving Knife,23.42
3012,SK12,Chef Tongs,7.53
3013,SK13,Serving Spoon,4.77
3014,SK14,Slotted Spoon,5.24
3015,SK15,Soup Ladle,6.64
3016,SK16,Sauce Ladle,5.97
3017,SK17,Whisk,4.22
3018,SK18,Mixing Bowl,13.89
3019,SK19,Measuring Jug,8.37
3020,SK20,Measuring Cups Set,8.90
3021,SK21,Chopping Board,13.75
3022,SK22,Pastry Brush,4.00
3023,SK23,Rolling Pin,10.93
3024,SK24,Baking Tray,16.08
3025,SK25,Roasting Pan,25.50
3026,SK26,Oven Mitt Set,8.73
3027,SK27,Apron,11.33
3028,SK28,Napkin Holder,8.31
3029,SK29,Table Caddy,8.87
3030,SK30,Water Pitcher,16.68
3031,SK31,Coffee Pot,20.20
3032,SK32,Tea Pot,21.51
3033,SK33,Milk Frothing Jug,9.56
3034,SK34,Sugar Dispenser,7.04
3035,SK35,Salt Mill,19.76
3036,SK36,Pepper Mill,17.44
3037,SK37,Condiment Pump,27.76
3038,SK38,Food Warmer Tray,33.41
3039,SK39,Chafing Dish,54.73
3040,SK40,Buffet Server,65.55
3041,SK41,Insulated Beverage Urn,67.64
3042,SK42,Juice Dispenser,55.71
3043,SK43,Ice Bucket,21.62
3044,SK44,Wine Cooler,34.37
3045,SK45,Glass Rack,33.77
3046,SK46,Cutlery Tray,16.50
3047,SK47,Plate Rack,17.27
3048,SK48,Storage Canister,14.52
3049,SK49,Food Storage Container Set,22.85
3050,SK50,Thermal Food Carrier,101.60
